Apartado,Bloque,Icono,NomCort,Nombre,Descripción,WKT
"INFRAESTRUCTURA","POZOS","POZO","PZS1","JORGE JIMENEZ CANTU","POZO 1","POINT (-98.848323 19.317364)"
"INFRAESTRUCTURA","POZOS","POZO","PZS2","SAN FRANCISCO","POZO 2","POINT (-98.866603 19.338547)"
"INFRAESTRUCTURA","POZOS","POZO","PZS3","SAN JOSE LA PALMA","POZO 3","POINT (-98.881706 19.321736)"
"INFRAESTRUCTURA","POZOS","POZO","PZS4","NUEVO MEXICO","POZO 4","POINT (-98.8853 19.321361)"
"INFRAESTRUCTURA","POZOS","POZO","PZS5","ACUEDUCTO","POZO 5","POINT (-98.889406 19.322508)"
"INFRAESTRUCTURA","POZOS","POZO","PZS6","CHOCOLINES","POZO 6","POINT (-98.897678 19.325381)"
"INFRAESTRUCTURA","POZOS","POZO","PZS7","TEJOLOTE","POZO 7","POINT (-98.913981 19.317868)"
"INFRAESTRUCTURA","POZOS","POZO","PZS8","IZCALLI","POZO 8","POINT (-98.935976 19.318911)"
"INFRAESTRUCTURA","POZOS","POZO","PZS9","RANCHO DEL CARMEN","POZO 9","POINT (-98.9397 19.3211)"
"INFRAESTRUCTURA","POZOS","POZO","PZS10","JOSE DE LA MORA","POZO 10","POINT (-98.91973 19.30767)"
"INFRAESTRUCTURA","POZOS","POZO","PZS11","SANTA CRUZ TLAPACOYA","POZO 11","POINT (-98.90736 19.30784)"
"INFRAESTRUCTURA","POZOS","POZO","PZS11ª","SANTA CRUZ TLAPACOYA","POZO 11ª","POINT (-98.91134 19.30617)"
"INFRAESTRUCTURA","POZOS","POZO","PZS12","ALFREDO DEL MAZO","POZO 12","POINT (-98.90808 19.29326)"
"INFRAESTRUCTURA","POZOS","POZO","PZS13","JARAL","POZO 13","POINT (-98.88661 19.29502)"
"INFRAESTRUCTURA","POZOS","POZO","PZS14","SAN FRANCISCO ACUAUTLA","POZO 14","POINT (-98.85267 19.35074)"
"INFRAESTRUCTURA","POZOS","POZO","PZS15","SAN FRANCISCO ACUAUTLA","POZO 15","POINT (-98.8564 19.33884)"
"INFRAESTRUCTURA","POZOS","POZO","PZS16","TLALPIZAHUAC","POZO 16","POINT (-98.94466 19.33438)"
"INFRAESTRUCTURA","POZOS","POZO","PZS17","LOS HEROES","POZO 17","POINT (-98.87156 19.32529)"
"INFRAESTRUCTURA","POZOS","POZO","PZS18","LOS HEROES","POZO 18","POINT (-98.87107 19.33213)"
"INFRAESTRUCTURA","POZOS","POZO","PZS19","LOS HEROES","POZO 19","POINT (-98.8675 19.32818)"
"INFRAESTRUCTURA","POZOS","POZO","PZS20","LOS HEROES","POZO 20","POINT (-98.87686 19.32858)"
"INFRAESTRUCTURA","POZOS","POZO","PZS21","LOS HEROES","POZO 21","POINT (-98.87996 19.32376)"
"INFRAESTRUCTURA","POZOS","POZO","PZS22","LOS HEROES","POZO 22","POINT (-98.8838 19.33175)"
"INFRAESTRUCTURA","POZOS","POZO","PZS23","MELCHOR OCAMPO","POZO 23","POINT (-98.90905 19.31931)"
